id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
40275574	Dr Ayo Sogunro	Pretoria, South Africa	2022-08-16 12:37:54+00:00	https://twitter.com/ayosogunro/status/1559519819904450560	Twitter Web App	1985	3924	Random reminder Tinubu Atiku funded Buhari presidential campaign	0.0	Neutral
16201796	m_e		2022-08-16 16:37:16+00:00	https://twitter.com/markessien/status/1559580060927115264	Twitter for Android	1340	4322	Atiku intention winning election He picked ticket give All Progressives Congress free ride Aso Rock That political elite scared Peter Obi genuine opposition That supposed happen They never prepared	0.4826	Positive
1026733681912758273	Dr. Ifeanyi Arthur Okowa	Asaba, Nigeria	2022-08-15 19:50:17+00:00	https://twitter.com/IAOkowa/status/1559266247786876930	Twitter for iPhone	320	1223	Today I proud witness people Adamawa unbridled show love affection son bos great party Presidential Candidate Waziri Adamawa Alhaji Abubakar AtikuInYola AtikuOkowa	0.9552	Positive
1158345274592550912	Desideratum		2022-08-17 12:01:54+00:00	https://twitter.com/FerdinandObiora/status/1559873148924854275	Twitter for Android	0	0	One million vote target Atiku Delta state	0.0	Neutral
1307031460227035136	Kenykashy	Nigeria	2022-08-17 12:01:53+00:00	https://twitter.com/kenykashy/status/1559873143208026114	Twitter Web App	0	0	So Atiku Peter better plan least tested plan Agending sha	0.4877	Positive
1252581506389868544	Hon Abdul Ahmad jigawa 🇳🇬	Federal Capital Territory, Nig	2022-08-17 12:01:52+00:00	https://twitter.com/HonAbdulAhmad2/status/1559873140200816642	Twitter for Android	1	0	RT Yes kogi rebirth real victory movement say yes	0.6597	Positive
1546209428369702915	Nationalist🌪️⛱️	🇳🇬	2022-08-17 12:01:52+00:00	https://twitter.com/Str3kk/status/1559873139781296130	Twitter for Android	1	0	RT All Progressives Congress plague Great Nation Nigeria inception CPC new found All Progressives Congress TINUBU ATIKU Bodi	0.6249	Positive
1317862797053693952	Wachor Zakka		2022-08-17 12:01:52+00:00	https://twitter.com/WachorZ/status/1559873139760402433	Twitter for Android	0	0	I northwest I know I watching I paof revival	0.0	Neutral
1466440617802842121	Naijamycountry		2022-08-17 12:01:52+00:00	https://twitter.com/Naijanaija8/status/1559873139525488640	Twitter for iPhone	0	0	Young man grateful among Buhari empower Npower program	0.4588	Positive
3250809774	Natasha	Montréal, Québec	2022-08-17 12:01:49+00:00	https://twitter.com/Natashanotables/status/1559873127668146177	Twitter for iPhone	130	0	RT I successfully tamed online arrogance Obidents felt could bully insult amp threaten everyone sub	-0.8519	Negative
1442229647576473602	Obas.Bigkelly70👿🇳🇬	Tottenham, London	2022-08-17 12:01:49+00:00	https://twitter.com/Oba52085467/status/1559873127475191810	Twitter for Android	0	0	It really absurd Religion Marginalization Amalgamation Resource control Lack Vision eating heaof Nigerians Nobody care innocent blood shared every day called government In Atiku Abubakar facing charge relating	0.7717	Positive
1003533892496830464	Obinna Mbah		2022-08-17 12:01:48+00:00	https://twitter.com/MaximumObinna/status/1559873123863887877	Twitter Web App	0	0	Your best option mean Some u second best	0.8555	Positive
1201070894346592256	DC		2022-08-17 12:01:46+00:00	https://twitter.com/Clangbeat/status/1559873114686820352	Twitter Web App	0	0	OSU people calling na British came Killing eachother name OSU caste That I said Igbo left would stato hate one another see one hate Hatefilled clannish lot	-0.9153	Negative
3104041118	Godwin Joseph	Nigeria	2022-08-17 12:01:45+00:00	https://twitter.com/_nonsojoe/status/1559873110320504833	Twitter for Android	174	0	RT Makes sense pro PDP pro Atiku person attack Obi competency Except saying Atiku	-0.4767	Negative
1544607806736793604	Creamy		2022-08-17 12:01:43+00:00	https://twitter.com/letter2Salem/status/1559873103852888065	Twitter for Android	0	0	Rightly said Person wey love education good road e better pas moving circle result wise man good Nigeria	0.9432	Positive
1511260539191709698	Basilica Of Peter Obi		2022-08-15 19:50:15+00:00	https://twitter.com/chizobanyi/status/1559266237049614336	Twitter for Android	482	0	RT I bin tell una say All Progressives Congress Peoples Democratic Party na ashawo mama born dem Atiku say go end ASUU strike becomes president	0.296	Positive
1525375320966176768	Egberipou Ebi		2022-08-15 19:50:14+00:00	https://twitter.com/EgberipouE/status/1559266233719070720	Twitter for Android	1059	0	RT BreakingNews casting VOTE VOTE Tinubu Shettima Peter Obi Yusuf Atik	0.0	Neutral
980587519145279489	Alameen Maaf	Yola, Nigeria	2022-08-15 19:50:14+00:00	https://twitter.com/mhiztahmaaf07/status/1559266232683188231	Twitter for iPhone	117	0	RT H E still finding hard access road state capital Yola Airport The welcoming overwh	0.3612	Positive
1166373907118665728	Chris Dgreat		2022-08-15 19:50:13+00:00	https://twitter.com/DgreatChris/status/1559266228975419392	Twitter for Android	0	0	Be Obedient yusuful Nigerians cant trust betrayal	0.0951	Positive
171459319	Chosen Is Blessed!	Lagos, Nigeria	2022-08-15 19:50:12+00:00	https://twitter.com/peteregwuatu/status/1559266224445562882	Twitter for Android	0	0	You must limbo Was atiku supported buhari would stood man gej initiated confab So think atiku restructure Nigerian Okay ooo	0.4939	Positive
980587519145279489	Alameen Maaf	Yola, Nigeria	2022-08-15 19:50:10+00:00	https://twitter.com/mhiztahmaaf07/status/1559266214924394500	Twitter for iPhone	282	0	RT As Presidential candidate Alhaji Abubakar come back home state Adamawa great witness overwhe	0.6249	Positive
205647340	Abba Gana	Nigeria	2022-08-15 19:50:09+00:00	https://twitter.com/Khvleefvh/status/1559266213699747846	Twitter for iPhone	282	0	RT As Presidential candidate Alhaji Abubakar come back home state Adamawa great witness overwhe	0.6249	Positive
1539526402885697536	Ejiro iyeghe		2022-08-15 19:50:09+00:00	https://twitter.com/ejiroiyeghe/status/1559266212110123014	Twitter for Android	783	0	RT All Atiku Tinubu supporter avoid week I activated vawulence button	-0.0258	Negative
