id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
268840291	President Eniola Daniel	NIGERIA	2022-08-16 07:38:12+00:00	https://twitter.com/UnlimitedEniola/status/1559444399423102976	Twitter for iPhone	1581	2730	Festus Keyamo sued Lagos State house assembly clearing Bola Tinubu governor Lagos state allegation certificate forgery Keyamo dragged member house state high court In defending man	-0.0516	Negative
40275574	Dr Ayo Sogunro	Pretoria, South Africa	2022-08-16 12:37:54+00:00	https://twitter.com/ayosogunro/status/1559519819904450560	Twitter Web App	1965	3889	Random reminder Tinubu Atiku funded Buhari presidential campaign	0.0	Neutral
1901298962	Naija	Nigeria	2022-08-16 18:23:02+00:00	https://twitter.com/Naija_PR/status/1559606676881346563	Twitter for Android	162	2299	Peter Obi need Nbillion defeat Tinubu Fayose	-0.4588	Negative
545967041	Dammy Francos	Nigeria	2022-08-17 11:42:10+00:00	https://twitter.com/DammyFrancos/status/1559868181187117056	Twitter for Android	2526	0	RT Tony Kabaka amp Festus Keyamo suppowho want The deadly cultist endorse Tinubu But D Day	0.2023	Positive
1301194140168970241	Isaac ® ™		2022-08-17 11:42:08+00:00	https://twitter.com/Bull0fjohn/status/1559868174140686336	Twitter for iPhone	0	0	Tinubu indicted pandora paper And Peter cleared air business It handle money also created entered office He also pay tax So idg	0.25	Positive
1164115944354004998	AUTO AND MOBILE 🚘📱	Lagos, Nigeria	2022-08-17 11:42:08+00:00	https://twitter.com/NnachiJohn8/status/1559868173859659777	Twitter for Android	0	0	Mercedes Benz GLk upgraded In perfect condition Extremely clean interior exterior Buy drive Fullest option NEGOTIABLE Sane NEPA Pulisic Kabaka Dest Ziyech Abuja Dele Alli Bola Ahmed Tinubu Bandana Buhari Edo State Tesla Wizkid Kemi Arise TV FC	0.7713	Positive
1232172296103776257	Ositadimma Onwe		2022-08-17 11:42:07+00:00	https://twitter.com/Mathew_Osita/status/1559868171531730945	Twitter for Android	0	0	Who packaged Buhari Nigerians It APC Tinubu Atiku So tell Nigerians vote	0.0	Neutral
1861152746	@A.M		2022-08-17 11:42:07+00:00	https://twitter.com/kaceechukwuma/status/1559868170432823296	Twitter for Android	1965	0	RT Random reminder Tinubu Atiku funded Buhari presidential campaign	0.0	Neutral
1511688363409133568	Chychy Nwosu		2022-08-17 11:42:05+00:00	https://twitter.com/chychyloving/status/1559868163889807360	Twitter for Android	2	0	RT Let assume All Progressives Congress well want BAT continue ideology someone want reduce purchasing p	0.4019	Positive
474046462	Young Pac	nigeria	2022-08-17 11:42:04+00:00	https://twitter.com/richieedet/status/1559868158223196168	Twitter for Android	182	0	RT Why I keep feeling Bola Ahmed Tinubu placeholder Kashim Shettima mean end	0.128	Positive
