id,username,location,tweet
44599458,Noble Igwe,"Lagos, Nigeria","Please talk to me like a child,why are people fact checking Peter Obi, talking about his interview but not saying anything about the security situation and the president’s tweet ?"
1087778780,ARISE NEWS,"Lagos, London, NYC","We cannot spend $40bn on subsidy and less than half on education &amp; health - Peter Obi
Labour Party's presidential candidate, Peter Obi, maintains that fuel subsidy in Nigeria is a scam and its implementation shambolic, while emphasizing his resolve to remove subsidies. https://t.co/NhxQ54Ma1W"
177139537,Charly Boy Area Fada 1,"Abuja, Nigeria","I watched Peter Obi today, I just dey imagine for my mind, if other Presidential candidates dey also watch the same thing.

This man na proper google, see as e dey vomit fact and figures like a chartered accountant and a historian.

Bad belle pple no fit out-wit dis one ooooo."
1190266149973450752,Omo_iya_Fiyin😌💕,,"RT @AreaFada1: I watched Peter Obi today, I just dey imagine for my mind, if other Presidential candidates dey also watch the same thing.…"
267652082,Duziem Ugoji,,"RT @thekaysie: Here are two facts Agbado united cannot refute:
1. If Tinubu built Lagos, he built the second worst liveable city in the wor…"
765743839,Name Cannot Be Blank,,"RT @General_Oluchi: We can all see why Peter Obi took his sweet time in finding a VP, and when he did, it was a match made in heaven. Who w…"
434552417,Elisha,,RT @isaacafrica_: Imagine that Tinubu loses this presidential election to Peter Obi and Ambode beats Sanwo Olu to emerge governor of Lagos…
228226679,Sandoka Foods Nigeria,Nigeria.,"RT @Nkemchor_: Peter Obi X Dr Yusuf Datti Ahmed are both Economists.
With these two men, the dream to move Nigeria from Consumption to Prod…"
1708471465,Clinton maduakor,"Lagos, Nigeria","RT @mhizhapi: Who sees road and enters bush or mud. Nigerians suffer no dey tire una?

If you are tire of suffering please let's here you.…"
1276470188288946177,Deji,"Lagos, Nigeria",RT @firstladyship: Peter Obi x Yusuf Datti Baba-Ahmed. How do they look? Don’t you like the confidence &amp; awesomeness oozing from both? Nige…
3349360167,OmoAkureTohBahd,Canada in Jesus name!!,"RT @ChukwebukaOkoli: By the time LP unveils Peter Obi's VP, people like Kwankwaso will understand that no one is indispensable. Yusuf Baba-…"
801788404681863168,Odoziaku 1 n'ala Igbo.,Nigeria,"RT @Chude__: This young Artist @iamkuttiemade is super Jam Peter Obi 2023! 🔥

Campaign with what you have👏

 https://t.co/f88pSkPYHe"
1147949382781853699,Eye9ja,Nigeria,"Face Of Man Who Stood On Nigeria Flag, Mistook For Peter Obi’s Son Revealed (Photos) https://t.co/XHxZWp2a82"
1488635798031409159,Tony,Abuja,"RT @ChukwebukaOkoli: By the time LP unveils Peter Obi's VP, people like Kwankwaso will understand that no one is indispensable. Yusuf Baba-…"
3395080907,LAZY loner💤,farm,RT @KawuGarba: Peter Obi is saying Kwankwaso's comment is the reason we have millions of children out of school. Someone that didn't do hal…
571565608,REAL DE DON,,RT @firstladyship: Those vilifying people online are not my supporters. They are people who are paid by my opponents to infiltrate my suppo…
176205058,Victor Onu Wokekoro,"Port Harcourt, Nigeria",RT @Naija_PR: I want a younger person as my Vice so I can lower the age of governance and stop recycling of old leaders — Peter Obi
854464592487096324,Dr Rec Angelo,"Lagos, Nigeria",RT @ChigozieIAlex: My son is a professional who’s consumed by his work. I stayed in a week in the US &amp; couldn’t see it cos he is consumed b…
1039103269375811585,Isaiah Emuze,"Lagos, Nigeria",RT @ChifeObi: NEPA restored light in my area just before Peter Obi’s interview on Arise TV and took it immediately the interview ended.😄😄😄…
328515060,Samuel Duke,Singapore. ,"RT @Princenechecfr: Peter Obi makes supporting him very easy.
Facts Choke, Track Records over choke."
1236210791063400448,Mr RECO,Lagos,"RT @urchilla01: Peter Obi said ""Nigerians Lo kan!""

I Stan my president ✊🏾"
109238654,Unstructured For PO 🕊️ ✪ 🕊️ ✪,ColeWorld ,RT @AfamDeluxo: Bruh. The passion in Peter Obi's to fix Nigeria is something I have never seen before. Especially the power sector.
258731913,Ik,Port harcourt 🇳🇬,"RT @Sadiqsans: @PeterObi is their greatest nightmare, even to those politicians that think they’re the landlords in the north. 

The accept…"
1320765321591066625,Kenneth Nnamdi Ani,,"RT @Topboychriss: ""Governor Nyesom Wike supported Anambra State with UBEC funds when he was Minister of Education. When we also had issues…"
